  #    World Rank                   ,  Institution                   ,  Country                   ,   
    1  ,   Harvard University   , USA    
    2  ,   Stanford University   , USA    
    3  ,   University of Cambridge   , UK    
    4  ,   Massachusetts Institute of Technology - MIT   , USA    
    5  ,   University of California - Berkeley   , USA    
    6  ,   Princeton University   , USA    
    7  ,   University of Oxford   , UK    
    8  ,   Columbia University   , USA    
    9  ,   California Institute of Technology - Caltech   , USA    
    10  ,   University of Chicago   , USA    
    11  ,   Yale University   , USA    
    12  ,   Cornell University   , USA    
    13  ,   Universit� Paris-Saclay   , France    
    14  ,   University of California - Los Angeles   , USA    
    15  ,   University of Pennsylvania   , USA    
    16  ,   Johns Hopkins University   , USA    
    17  ,   University College London   , UK    
    18  ,   University of California - San Diego   , USA    
    19  ,   University of Washington   , USA    
    20  ,   University of California - San Francisco   , USA    
    21  ,   Swiss Federal Institute of Technology Zurich - ETHZ   , Switzerland    
    22  ,   University of Toronto   , Canada    
    23  ,   Washington University in St. Louis   , USA    
    24  ,   The University of Tokyo   , Japan    
    25  ,   Imperial College London   , UK    
    26  ,   University of Michigan - Ann Arbor   , USA    
    27  ,   New York University   , USA    
    28  ,   Tsinghua University   , China    
    29  ,   University of North Carolina at Chapel Hill   , USA    
    30  ,   University of Copenhagen   , Denmark    
    31  ,   University of Wisconsin-Madison   , USA    
    32  ,   Duke University   , USA    
    33  ,   University of Melbourne   , Australia    
    34  ,   Northwestern University   , USA    
    35  ,   University of Manchester   , UK    
    35  ,   Sorbonne University   , France    
    37  ,   Kyoto University   , Japan    
    38  ,   University of Edinburgh   , UK    
    38  ,   PSL Research University Paris   , France    
    40  ,   University of Minnesota - Twin Cities   , USA    
    41  ,   University of Texas at Austin   , USA    
    42  ,   University of British Columbia   , Canada    
    42  ,   Karolinska Institute   , Sweden    
    42  ,   Rockefeller University   , USA    
    45  ,   Peking University   , China    
    46  ,   University of Colorado at Boulder   , USA    
    47  ,   King's College London   , UK    
    48  ,   University of M�nchen   , Germany    
    48  ,   University of Texas Southwestern Medical Center at Dallas   , USA    
    50  ,   Utrecht University   , Netherlands    
    51  ,   University of Queensland   , Australia    
    52  ,   Zhejiang University   , China    
    52  ,   Technical University of M�nchen   , Germany    
    54  ,   University of Zurich   , Switzerland    
    55  ,   University of Illinois at Urbana-Champaign   , USA    
    56  ,   University of Maryland at College Park   , USA    
    57  ,   University of Heidelberg   , Germany    
    57  ,   University of California - Santa Barbara   , USA    
    59  ,   Shanghai Jiao Tong University   , China    
    60  ,   University of Geneva   , Switzerland    
    61  ,   University of Oslo   , Norway    
    61  ,   University of Southern California   , USA    
    63  ,   University of Science and Technology of China   , China    
    64  ,   University of Groningen   , Netherlands    
    65  ,   University of New South Wales   , Australia    
    65  ,   Vanderbilt University   , USA    
    67  ,   McGill University   , Canada    
    67  ,   University of Texas MD Anderson Cancer Center   , USA    
    69  ,   University of Sydney   , Australia    
    70  ,   University of California - Irvine   , USA    
    71  ,   University of Gent   , Belgium    
    71  ,   Aarhus University   , Denmark    
    73  ,   Paris Cit� University   , France    
    74  ,   Stockholm University   , Sweden    
    75  ,   National University of Singapore   , Singapore    
    76  ,   Australian National University   , Australia    
    77  ,   Fudan University   , China    
    78  ,   Uppsala University   , Sweden    
    78  ,   University of Bristol   , UK    
    80  ,   Monash University   , Australia    
    81  ,   Nanyang Technological University   , Singapore    
    82  ,   University of Helsinki   , Finland    
    83  ,   University of Leiden   , Netherlands    
    84  ,   University of Bonn   , Germany    
    84  ,   Nagoya University   , Japan    
    86  ,   Purdue University   , USA    
    87  ,   Catholic University of Leuven   , Belgium    
    87  ,   University of Basel   , Switzerland    
    89  ,   Sun Yat-Sen University   , China    
    90  ,   Hebrew University of Jerusalem   , Israel    
    91  ,   Swiss Federal Institute of Technology Lausanne - EPFL   , Switzerland    
    92  ,   McMaster University   , Canada    
    92  ,   Weizmann Institute of Science   , Israel    
    94  ,   Technion - Israel Institute of Technology   , Israel    
    95  ,   Boston University   , USA    
    96  ,   University of Western Australia   , Australia    
    97  ,   Moscow State University   , Russia    
    97  ,   University of Florida   , USA    
    97  ,   Carnegie Mellon University   , USA    
    100  ,   University of California - Davis   , USA    
    101-150  ,   University of Adelaide   , Australia    
    101-150  ,   Universit� Libre de Bruxelles   , Belgium    
    101-150  ,   University of Sao Paulo   , Brazil    
    101-150  ,   University of Alberta   , Canada    
    101-150  ,   University of Montreal   , Canada    
    101-150  ,   University of Bern   , Switzerland    
    101-150  ,   University of Lausanne   , Switzerland    
    101-150  ,   Huazhong University of Science and Technology   , China    
    101-150  ,   Nanjing University   , China    
    101-150  ,   Xi'an Jiaotong University   , China    
    101-150  ,   University of Freiburg   , Germany    
    101-150  ,   University of G�ttingen   , Germany    
    101-150  ,   Chinese University of Hong Kong   , Hong Kong    
    101-150  ,   University of Hong Kong   , Hong Kong    
    101-150  ,   Tokyo Institute of Technology   , Japan    
    101-150  ,   Seoul National University   , South Korea    
    101-150  ,   Erasmus University Rotterdam   , Netherlands    
    101-150  ,   VU University Amsterdam   , Netherlands    
    101-150  ,   Radboud University of Nijmegen   , Netherlands    
    101-150  ,   University of Amsterdam   , Netherlands    
    101-150  ,   Wageningen University & Research Center   , Netherlands    
