   #    World Rank                   ,  Institution                   ,  Country                   ,   
    1  ,   University of Oxford   , UK    
    2  ,   Stanford University   , USA    
    3  ,   Harvard University   , USA    
    4  ,   California Institute of Technology - Caltech   , USA    
    5  ,   Massachusetts Institute of Technology - MIT   , USA    
    6  ,   University of Cambridge   , UK    
    7  ,   University of California - Berkeley   , USA    
    8  ,   Yale University   , USA    
    9  ,   Princeton University   , USA    
    10  ,   University of Chicago   , USA    
    11  ,   Imperial College London   , UK    
    12  ,   Johns Hopkins University   , USA    
    13  ,   University of Pennsylvania   , USA    
    14  ,   Swiss Federal Institute of Technology Zurich - ETHZ   , Switzerland    
    15  ,   University of California - Los Angeles   , USA    
    16  ,   University College London   , UK    
    17  ,   Columbia University   , USA    
    18  ,   University of Toronto   , Canada    
    19  ,   Cornell University   , USA    
    20  ,   Tsinghua University   , China    
    20  ,   Duke University   , USA    
    22  ,   University of Michigan - Ann Arbor   , USA    
    23  ,   Peking University   , China    
    24  ,   Northwestern University   , USA    
    25  ,   National University of Singapore   , Singapore    
    26  ,   New York University   , USA    
    27  ,   London School of Economics   , UK    
    28  ,   Carnegie Mellon University   , USA    
    29  ,   University of Washington   , USA    
    30  ,   University of Edinburgh   , UK    
    31  ,   University of Melbourne   , Australia    
    32  ,   University of M�nchen   , Germany    
    33  ,   University of California - San Diego   , USA    
    34  ,   University of British Columbia   , Canada    
    35  ,   King's College London   , UK    
    36  ,   The University of Tokyo   , Japan    
    36  ,   Karolinska Institute   , Sweden    
    38  ,   Georgia Institute of Technology   , USA    
    39  ,   University of Hong Kong   , Hong Kong    
    40  ,   McGill University   , Canada    
    41  ,   Technical University of M�nchen   , Germany    
    42  ,   University of Heidelberg   , Germany    
    43  ,   Swiss Federal Institute of Technology Lausanne - EPFL   , Switzerland    
    44  ,   University of Texas at Austin   , USA    
    45  ,   Catholic University of Leuven   , Belgium    
    46  ,   PSL Research University Paris   , France    
    47  ,   Nanyang Technological University   , Singapore    
    48  ,   University of Illinois at Urbana-Champaign   , USA    
    49  ,   University of Wisconsin-Madison   , USA    
    50  ,   Washington University in St. Louis   , USA    
    51  ,   University of Sydney   , Australia    
    51  ,   University of Manchester   , UK    
    53  ,   University of Southern California   , USA    
    54  ,   Kyoto University   , Japan    
    54  ,   Boston University   , USA    
    56  ,   Chinese University of Hong Kong   , Hong Kong    
    56  ,   Hong Kong University of Science and Technology   , Hong Kong    
    56  ,   University of North Carolina at Chapel Hill   , USA    
    59  ,   Australian National University   , Australia    
    60  ,   Seoul National University   , South Korea    
    61  ,   Brown University   , USA    
    62  ,   University of Queensland   , Australia    
    62  ,   Wageningen University & Research Center   , Netherlands    
    64  ,   Monash University   , Australia    
    64  ,   University of California - Davis   , USA    
    66  ,   University of Amsterdam   , Netherlands    
    67  ,   University of New South Wales   , Australia    
    68  ,   University of California - Santa Barbara   , USA    
    69  ,   McMaster University   , Canada    
    70  ,   Fudan University   , China    
    70  ,   University of Leiden   , Netherlands    
    72  ,   Erasmus University Rotterdam   , Netherlands    
    73  ,   University of Montreal   , Canada    
    73  ,   University of Zurich   , Switzerland    
    75  ,   Utrecht University   , Netherlands    
    75  ,   Charit� - University Medicine Berlin   , Germany    
    77  ,   University of Warwick   , UK    
    78  ,   University of T�bingen   , Germany    
    78  ,   Delft University of Technology   , Netherlands    
    80  ,   Humboldt University of Berlin   , Germany    
    80  ,   University of Groningen   , Netherlands    
    80  ,   Ohio State University   , USA    
    83  ,   University of Freiburg   , Germany    
    84  ,   University of Copenhagen   , Denmark    
    85  ,   Emory University   , USA    
    85  ,   University of Minnesota - Twin Cities   , USA    
    87  ,   University of Science and Technology of China   , China    
    87  ,   Ecole Polytechnique   , France    
    87  ,   Sorbonne University   , France    
    90  ,   University of Maryland at College Park   , USA    
    91  ,   University of Bristol   , UK    
    92  ,   University of Basel   , Switzerland    
    92  ,   University of Glasgow   , UK    
    94  ,   Zhejiang University   , China    
    94  ,   Purdue University   , USA    
    96  ,   Korea Advanced Institute of Science and Technology   , South Korea    
    97  ,   National Taiwan University   , Taiwan    
    98  ,   University of Helsinki   , Finland    
    98  ,   University of California - Irvine   , USA    
    100  ,   Shanghai Jiao Tong University   , China    
    101  ,   Dartmouth College   , USA    
    101  ,   Sungkyunkwan University   , South Korea    
    103  ,   University of Gent   , Belgium    
    103  ,   Lund University   , Sweden    
    105  ,   Michigan State University   , USA    
    106  ,   Aarhus University   , Denmark    
    107  ,   University of Birmingham   , UK    
    107  ,   RWTH Aachen University   , Germany    
    109  ,   University of Bern   , Switzerland    
    110  ,   Queen Mary - University of London   , UK    
    111  ,   Nanjing University   , China    
    111  ,   Uppsala University   , Sweden    
    111  ,   Vanderbilt University   , USA    
    114  ,   University of Bonn   , Germany    
    114  ,   Pennsylvania State University   , USA    
    116  ,   VU University Amsterdam   , Netherlands    
    117  ,   University of Virginia   , USA    
    118  ,   University of Adelaide   , Australia    
    118  ,   Free University of Berlin   , Germany    
    120  ,   Georgetown University   , USA    
    121  ,   University of Maastricht   , Netherlands    
    121  ,   University of Sheffield   , UK    
    121  ,   Case Western Reserve University   , USA    
    124  ,   University of Arizona   , USA    
    124  ,   Rice University   , USA    
    126  ,   City University of Hong Kong   , Hong Kong    
    127  ,   University of Oslo   , Norway    
    127  ,   University of Southampton   , UK    
    129  ,   Hong Kong Polytechnic University   , Hong Kong    
    130  ,   University of G�ttingen   , Germany    
    131  ,   University of Alberta   , Canada    
    131  ,   University of Colorado at Boulder   , USA    
    133  ,   University of York   , UK    
    133  ,   University of Pittsburgh   , USA    
    135  ,   University of Hamburg   , Germany    
    136  ,   Radboud University of Nijmegen   , Netherlands    
    136  ,   Lancaster University   , UK    
    136  ,   Paris Cit� University   , France    
    139  ,   University of Western Australia   , Australia    
    140  ,   University of W�rzburg   , Germany    
    140  ,   Technical University of Berlin   , Germany    
    140  ,   University of Mannheim   , Germany    
    140  ,   University of Ulm   , Germany    
    140  ,   Indiana University at Bloomington   , USA    
    145  ,   University of Ottawa   , Canada    
    145  ,   University of Cologne   , Germany    
    147  ,   University of Auckland   , New Zealand    
    147  ,   University of Rochester   , USA    
    149  ,   University of Geneva   , Switzerland    
    149  ,   University of Durham   , UK    
    151  ,   Pohang University of Science and Technology   , South Korea    
    152  ,   Technical University of Dresden   , Germany    
    152  ,   University Pompeu Fabra   , Spain    
    152  ,   University of Florida   , USA    
    155  ,   Trinity College Dublin   , Ireland    
    155  ,   University of Cape Town   , South Africa    
    155  ,   Tufts University   , USA    
    158  ,   University of Bielefeld   , Germany    
    158  ,   University of Nottingham   , UK    
    160  ,   University of Technology Sydney   , Australia    
    160  ,   University of Leeds   , UK    
    160  ,   University of Sussex   , UK    
    163  ,   University of Liverpool   , UK    
    164  ,   University of Vienna   , Austria    
    164  ,   Catholic University of Louvain   , Belgium    
    166  ,   Rutgers - The State University of New Jersey   , USA    
    167  ,   University of Bologna   , Italy    
    167  ,   Korea University   , South Korea    
    169  ,   University of Alabama at Birmingham   , USA    
    170  ,   University of Antwerp   , Belgium    
    170  ,   Sant'Anna School of Advanced Studies   , Italy    
    170  ,   University of Leicester   , UK    
    170  ,   University of Notre Dame   , USA    
    174  ,   Moscow State University   , Russia    
    174  ,   University of Exeter   , UK    
    176  ,   Northeastern University   , USA    
    176  ,   Ulsan National Institute of Science and Technology   , South Korea    
    178  ,   Universit� Paris-Saclay   , France    
    178  ,   University of Aberdeen   , UK    
    178  ,   Newcastle University - Newcastle-upon-Tyne   , UK    
    181  ,   Scuola Normale Superiore di Pisa   , Italy    
    182  ,   Autonomous University of Barcelona   , Spain    
    183  ,   Stockholm University   , Sweden    
    184  ,   University of Canberra   , Australia    
    184  ,   Arizona State University   , USA    
    186  ,   Queensland University of Technology   , Australia    
    187  ,   Technical University of Denmark   , Denmark    
    187  ,   Yonsei University   , South Korea    
    187  ,   Eindhoven University of Technology   , Netherlands    
    187  ,   George Washington University   , USA    
    191  ,   University of Lausanne   , Switzerland    
    191  ,   Tel Aviv University   , Israel    
    191  ,   G�teborg University   , Sweden    
    191  ,   Cardiff University   , UK    
    195  ,   Macquarie University   , Australia    
    195  ,   University of M�nster   , Germany    
    197  ,   Texas A&M University   , USA    
