  #    World Rank                   ,  Institution                   ,  Country                   ,   
    1  ,   University of Oxford   , UK    
    2  ,   Harvard University   , USA    
    3  ,   University of Cambridge   , UK    
    3  ,   Stanford University   , USA    
    5  ,   Massachusetts Institute of Technology - MIT   , USA    
    6  ,   California Institute of Technology - Caltech   , USA    
    7  ,   Princeton University   , USA    
    8  ,   University of California - Berkeley   , USA    
    9  ,   Yale University   , USA    
    10  ,   Imperial College London   , UK    
    11  ,   Swiss Federal Institute of Technology Zurich - ETHZ   , Switzerland    
    11  ,   Columbia University   , USA    
    13  ,   University of Chicago   , USA    
    14  ,   University of Pennsylvania   , USA    
    15  ,   Johns Hopkins University   , USA    
    16  ,   Tsinghua University   , China    
    17  ,   Peking University   , China    
    18  ,   University of Toronto   , Canada    
    19  ,   National University of Singapore   , Singapore    
    20  ,   Cornell University   , USA    
    21  ,   University of California - Los Angeles   , USA    
    22  ,   University College London   , UK    
    23  ,   University of Michigan - Ann Arbor   , USA    
    24  ,   New York University   , USA    
    25  ,   Duke University   , USA    
    26  ,   Northwestern University   , USA    
    26  ,   University of Washington   , USA    
    28  ,   Carnegie Mellon University   , USA    
    29  ,   University of Edinburgh   , UK    
    30  ,   Technical University of M�nchen   , Germany    
    31  ,   University of Hong Kong   , Hong Kong    
    32  ,   University of California - San Diego   , USA    
    33  ,   University of M�nchen   , Germany    
    34  ,   University of Melbourne   , Australia    
    35  ,   King's College London   , UK    
    36  ,   Nanyang Technological University   , Singapore    
    37  ,   London School of Economics   , UK    
    38  ,   Georgia Institute of Technology   , USA    
    39  ,   The University of Tokyo   , Japan    
    40  ,   University of British Columbia   , Canada    
    41  ,   Swiss Federal Institute of Technology Lausanne - EPFL   , Switzerland    
    42  ,   Catholic University of Leuven   , Belgium    
    43  ,   University of Heidelberg   , Germany    
    44  ,   Monash University   , Australia    
    45  ,   Chinese University of Hong Kong   , Hong Kong    
    46  ,   McGill University   , Canada    
    47  ,   PSL Research University Paris   , France    
    48  ,   University of Illinois at Urbana-Champaign   , USA    
    49  ,   Karolinska Institute   , Sweden    
    50  ,   University of Texas at Austin   , USA    
    51  ,   Fudan University   , China    
    52  ,   Shanghai Jiao Tong University   , China    
    53  ,   University of Queensland   , Australia    
    54  ,   University of Sydney   , Australia    
    54  ,   University of Manchester   , UK    
    56  ,   Seoul National University   , South Korea    
    57  ,   Washington University in St. Louis   , USA    
    58  ,   Hong Kong University of Science and Technology   , Hong Kong    
    59  ,   Wageningen University & Research Center   , Netherlands    
    60  ,   University of Amsterdam   , Netherlands    
    61  ,   Brown University   , USA    
    62  ,   Australian National University   , Australia    
    63  ,   University of California - Davis   , USA    
    64  ,   University of California - Santa Barbara   , USA    
    65  ,   University of Southern California   , USA    
    66  ,   Utrecht University   , Netherlands    
    67  ,   Zhejiang University   , China    
    68  ,   Kyoto University   , Japan    
    69  ,   University of North Carolina at Chapel Hill   , USA    
    70  ,   Delft University of Technology   , Netherlands    
    71  ,   University of New South Wales   , Australia    
    71  ,   Boston University   , USA    
    73  ,   Charit� - University Medicine Berlin   , Germany    
    74  ,   University of Science and Technology of China   , China    
    75  ,   University of Groningen   , Netherlands    
    76  ,   University of Bristol   , UK    
    77  ,   University of Leiden   , Netherlands    
    78  ,   Yonsei University   , South Korea    
    79  ,   Hong Kong Polytechnic University   , Hong Kong    
